Title,Address,Description,Link,Opening Hours,Contact Number,Features
Adventure HQ,"2 Yishun Walk, Singapore 767944","Opening Hours: Mon Closed; Tue-Fri 2pm-9.30pm; Sat-Sun,PH 10am-9.30pm

Climbing Theme Park
High Elements Obstacle Course
Lead Climbing Wall (2 lanes)
Top Rope Climbing Wall
Bouldering Wall

Contact No.: 6705 9420",More details,"Opening Hours: Mon Closed; Tue-Fri 2pm-9.30pm; Sat-Sun,PH 10am-9.30pm",Contact No.: 6705 9420,; Climbing Theme Park; High Elements Obstacle Course; Lead Climbing Wall (2 lanes); Top Rope Climbing Wall; Bouldering Wall; 
Ark Bloc,"6 Tebing Lane, #01-05, Singapore 828835","Opening Hours: Mon-Fri 8am-12pm, 3pm-10pm; Sat-Sun 10am-10pm
Contact No.: +65 8022 1480

Bouldering Wall
Fitness Gym",More details,"Opening Hours: Mon-Fri 8am-12pm, 3pm-10pm; Sat-Sun 10am-10pm",Contact No.: +65 8022 1480,; Bouldering Wall; Fitness Gym
BFF Climb @ Bendemeer,"2 Kallang Ave, #01-20 CT Hub @ Kallang, Singapore 339407","Opening Hours: Mon 5pm-10.30pm; Tue-Fri 10.30am-10.30pm; Sat-Sun 10am-9pm

Contact: 9649 4145

Bouldering Wall
Kilter Board",More details,Opening Hours: Mon 5pm-10.30pm; Tue-Fri 10.30am-10.30pm; Sat-Sun 10am-9pm,Contact: 9649 4145,; ; Bouldering Wall; Kilter Board
BFF Climb @ Our Tampines Hub,"#02-81, Our Tampines Hub, 1 Tampines Walk, Singapore 528523","Opening Hours: Daily 9.30am - 10.45pm
Contact No.: +65 8368 9214

Bouldering Wall
Top Rope Wall
Auto Belay Wall
Lead Wall",More details,Opening Hours: Daily 9.30am - 10.45pm,Contact No.: +65 8368 9214,; Bouldering Wall; Top Rope Wall; Auto Belay Wall; Lead Wall
BFF Climb @ yo:HA,"#03-06 Tampines Street 92, yo:HA Commercial @ Tampines, Singapore","Opening Hours: Opening Soon!
Contact No.: 8691 9790

Bouldering Wall",More details,Opening Hours: Opening Soon!,Contact No.: 8691 9790,; Bouldering Wall
Boruda,991A Alexandra Road #02-06/07 Singapore 119969,"Opening Hours: Mon 1.30pm-10.30pm; Tue-Fri 11.30am-10.30pm; Sat-Sun,PH 9am-9pm
Contact No.: 6994 2325

Bouldering Wall",More details,"Opening Hours: Mon 1.30pm-10.30pm; Tue-Fri 11.30am-10.30pm; Sat-Sun,PH 9am-9pm",Contact No.: 6994 2325,; Bouldering Wall
Boulder Movement (Bugis+),"201 Victoria Street #05-07, Bugis+ Singapore 188067","Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Sat-Sun,PH 10am-8pm
Contact No.: 6993 9228

Bouldering Wall",More details,"Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Sat-Sun,PH 10am-8pm",Contact No.: 6993 9228,; Bouldering Wall
Boulder Movement (OUE Downtown),"#B1-03 OUE Downtown, 6A Shenton Way, Singapore 068815","Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Sat-Sun,PH 10am-8pm
Contact No.: 6816 6001

Bouldering Wall",More details,"Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Sat-Sun,PH 10am-8pm",Contact No.: 6816 6001,; Bouldering Wall
Boulder Movement (Tai Seng),"#01-09 Mapletree, 18 Tai Seng Street, Singapore 539775","Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Sat-Sun,PH 10am-8pm
Contact No.: 6974 7769

Bouldering Wall",More details,"Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Sat-Sun,PH 10am-8pm",Contact No.: 6974 7769,; Bouldering Wall
Boulder Movement (Tekka Place),"2 Serangoon Road #02-12, Tekka Place Singapore 218227","Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Wed 9am-10pm; Sat-Sun,PH 10am-8pm
Contact No.: 6993 2100

Bouldering Wall
Kilter Board",More details,"Opening Hours: Mon 5.30pm-10pm; Tue-Fri 12pm-10pm; Wed 9am-10pm; Sat-Sun,PH 10am-8pm",Contact No.: 6993 2100,; Bouldering Wall; Kilter Board
Boulder Planet (Sembawang),"#B1-22/23, Sembawang Shopping Centre, 604 Sembawang Road, Singapore 758459","Opening Hours: Mon-Fri 10am-10pm, Sat-Sun 10am-09pm
Contact No.: +65 9469 2386

Bouldering Wall",More details,"Opening Hours: Mon-Fri 10am-10pm, Sat-Sun 10am-09pm",Contact No.: +65 9469 2386,; Bouldering Wall
Boulder Planet (Tai Seng),"601 MacPherson Rd, #02-07 Grantral Mall, Singapore 368242","Opening Hours: Mon-Fri 10am-10pm, Sat-Sun 10am-09pm
Contact No.: +65 9469 2386

Bouldering Wall",More details,"Opening Hours: Mon-Fri 10am-10pm, Sat-Sun 10am-09pm",Contact No.: +65 9469 2386,; Bouldering Wall
Boulder World (Paragon),"290 Orchard Rd, #06-25/26 Paragon Shopping Centre, Singapore 238859","Opening Hours: Mon-Fri 9am-10.30pm; Sat-Sun 9am-10.30pm
Contact No.: +65 6610 5464

Bouldering Wall",More details,Opening Hours: Mon-Fri 9am-10.30pm; Sat-Sun 9am-10.30pm,Contact No.: +65 6610 5464,; Bouldering Wall
Boulder+,"#03-17 The Aperia Mall, 12 Kallang Ave, 339511","Opening Hours: Mon 12.30pm-10pm, Tues-Fri 7.30am-10pm, Sat 8am-8pm; Sun 8am-5pm
Contact No.: +65 6282 7530

Bouldering Wall",More details,"Opening Hours: Mon 12.30pm-10pm, Tues-Fri 7.30am-10pm, Sat 8am-8pm; Sun 8am-5pm",Contact No.: +65 6282 7530,; Bouldering Wall
Boulder+ (The Chevrons),48 Boon Lay Way #04-01 Singapore 609961,"Opening Hours: Mon 12pm-10pm, Tues-Fri 07:30am-10pm, Sat-Sun 8am-8pm
Contact No.: +65 6970 0166

Bouldering Wall",More details,"Opening Hours: Mon 12pm-10pm, Tues-Fri 07:30am-10pm, Sat-Sun 8am-8pm",Contact No.: +65 6970 0166,; Bouldering Wall
Boys Town Adventure Centre,624 Upper Bukit Timah Singapore 678212,"Opening Hours: By Appointment Only
Contact No.: Nil

Top/Lead Wall (Outdoor)
Bouldering Wall",More details,Opening Hours: By Appointment Only,Contact No.: Nil,; Top/Lead Wall (Outdoor); Bouldering Wall
Climb Central (Funan),"#B2-19/21 Funan Mall, 107 North Bridge Road, Singapore 179105","Opening Hours: Mon-Fri 10am-11pm; Sat-Sun 9am-9pm
Contact No.: +65 6906 3918

Top/Lead Wall
Bouldering Wall
Auto-Belay
Kilter Board",More details,Opening Hours: Mon-Fri 10am-11pm; Sat-Sun 9am-9pm,Contact No.: +65 6906 3918,; Top/Lead Wall; Bouldering Wall; Auto-Belay; Kilter Board
